City Summary URL,City,Restaurant Name,Address,Price Point,Food Type(Cusine),Restaurant URL,Hours of Operation
https://www.foodora.com.au,Melbourne,Cafe Lua,"169 Elgin St, Carlton,3053,Melbourne",$,"Cafe,Burgers",https://www.foodora.com.au/restaurant/a9an/cafe-lua," Mon - Fri 11:00 am - 3:00 pm , Sat, Sun 10:00 am - 2:00 pm "
https://www.foodora.com.au,Melbourne,Brunetti Cakes & Gelati,"380 Lygon Street, Carlton,3053,Melbourne",$$,Bakery & Cafe,https://www.foodora.com.au/restaurant/a4xz/brunetti-vendor," Mon - Fri 11:00 am - 10:00 pm , Sat, Sun 10:00 am - 10:00 pm "
https://www.foodora.com.au,Melbourne,Bamboo Bean,"301 Waverley Rd, Malvern East,3145,Melbourne",$$,"Pancakes,Cafe,Breakfast,Burgers",https://www.foodora.com.au/restaurant/a3np/bamboo-bean," Mon - Fri 11:00 am - 3:00 pm , Sat, Sun 10:00 am - 3:30 pm "
https://www.foodora.com.au,Melbourne,Burgers Paradise,"1398 High Street, Malvern,3144,Melbourne",$$,"Meat,Pasta,Australian,Salad,Burgers",https://www.foodora.com.au/restaurant/a2af/burgers-paradise," Mon - Fri 11:00 am - 3:00 pm, 5:00 pm - 9:00 pm , Sat, Sun 10:00 am - 9:00 pm "
https://www.foodora.com.au,Melbourne,Caffe La Via,"252-254 Glenferrie Road, Malvern,3144,Melbourne",$$$,"Pizza,Italian,Pasta,Meat",https://www.foodora.com.au/restaurant/a0po/caffe-la-via," Mon, Wed - Fri 11:00 am - 10:00 pm , Tue 11:00 am - 4:00 pm , Sat 10:00 am - 10:00 pm , Sun 10:00 am - 6:00 pm "
https://www.foodora.com.au,Melbourne,Cote Terra,"17 Station Street, Caulfield,3166,Melbourne",$$,"Australian,American,Seafood,Fish,Burgers",https://www.foodora.com.au/restaurant/a9lv/cote-terra," Mon - Fri 11:00 am - 3:00 pm , Sat, Sun 10:00 am - 3:00 pm "
https://www.foodora.com.au,Melbourne,Creme Port Melbourne,"70 Bay Street, Port Melbourne,3207,Melbourne",$$,"Pasta,Risotto,Salad,Breakfast,Burgers",https://www.foodora.com.au/restaurant/a2px/creme-port-melbourne," Mon - Wed 11:00 am - 8:00 pm , Thu, Fri 11:00 am - 9:00 pm , Sat 10:00 am - 9:00 pm , Sun 10:00 am - 8:00 pm "
https://www.foodora.com.au,Melbourne,Degani,"Shop 54, 90-106 Sydney Rd, Brunswick,3056,Melbourne",$$,"Italian,Pasta,Salad,Risotto",https://www.foodora.com.au/restaurant/a6ul/degani," Mon - Wed 11:00 am - 3:00 pm, 5:00 pm - 8:00 pm , Thu, Fri 11:00 am - 3:00 pm, 5:00 pm - 9:00 pm , Sat 10:00 am - 9:00 pm , Sun 10:00 am - 8:00 pm "
https://www.foodora.com.au,Melbourne,Donutopia,"398 Chapel Street, South Yarra,3181,Melbourne",$$,"Sweet-tooth,Bakery & Cafe",https://www.foodora.com.au/restaurant/a6mp/dontuopia," Mon - Fri 11:00 am - 10:00 pm , Sat, Sun 10:00 am - 10:00 pm "
https://www.foodora.com.au,Melbourne,Doughnut Time Degraves Street,"5 Degraves Street, Melbourne,3000,Melbourne",$,"Sweet-tooth,Vegan,Dessert",https://www.foodora.com.au/restaurant/a0dr/doughnut-time-degraves-street," Mon - Fri 11:00 am - 10:00 pm , Sat, Sun 10:00 am - 10:00 pm "
https://www.foodora.com.au,Melbourne,Einstein's Relative,"1/9 Yarra Street, South Yarra,3141,Melbourne",$$,"Cafe,Salad,Breakfast,Sandwiches",https://www.foodora.com.au/restaurant/a5va/einstein-s-relative," Mon - Fri 11:00 am - 3:00 pm , Sat, Sun 10:00 am - 3:00 pm "
https://www.foodora.com.au,Melbourne,Forest Green,"1264 High Street, Malvern,3144,Melbourne",$$,"Organic,Australian,Breakfast,Cafe",https://www.foodora.com.au/restaurant/a9rk/forest-green," Mon - Fri 11:00 am - 3:00 pm , Sat, Sun 10:00 am - 3:00 pm "
https://www.foodora.com.au,Melbourne,Friends of Mine,"506 Swan Street, Richmond,3121,Melbourne",$$,"Juices,Smoothies,Cafe,Breakfast",https://www.foodora.com.au/restaurant/a0mn/goldlfc-pty-ltd," Mon - Fri 11:00 am - 3:00 pm , Sat, Sun 10:00 am - 3:00 pm "
https://www.foodora.com.au,Melbourne,GGM.EATS,"720 Glenferrie Road, Hawthorn,3122,Melbourne",$$,"Meat,Grill,Sandwiches",https://www.foodora.com.au/restaurant/a8eb/ggm-eats," Mon - Fri 11:00 am - 6:30 pm , Sat 10:00 am - 5:00 pm , Sun 10:00 am - 4:30 pm "
https://www.foodora.com.au,Melbourne,Gihan's,"81 Burwood Road, Hawthorn,3122,Melbourne",$$,"Meat,Rice,Cafe,Seafood",https://www.foodora.com.au/restaurant/a9la/gihan-s," Mon - Wed 11:00 am - 8:00 pm , Thu, Fri 11:00 am - 9:00 pm , Sat 10:00 am - 9:00 pm , Sun 10:00 am - 4:00 pm "
https://www.foodora.com.au,Melbourne,Gong De Lin,"3/264 Swanston St, Melbourne,3000,Melbourne",$$,"Asian,Vegetarian,Chinese",https://www.foodora.com.au/restaurant/a3mx/gong-de-lin," Mon - Fri 11:00 am - 3:00 pm, 5:00 pm - 10:00 pm , Sat, Sun 10:00 am - 10:00 pm "
https://www.foodora.com.au,Melbourne,Gramercy Social,"162 Commercial Road, Prahran,3181,Melbourne",$,"American,Salad,Share,Burgers",https://www.foodora.com.au/restaurant/a1fs/gramercy-social," Mon - Fri 11:00 am - 3:00 pm, 5:00 pm - 10:00 pm , Sat, Sun 10:00 am - 10:00 pm "
https://www.foodora.com.au,Melbourne,Hanoi Old Quarter,"658 Glenferrie Road, Hawthorn,3122,Melbourne",$$,"Rice,Soup,Vietnamese,Noodles",https://www.foodora.com.au/restaurant/a3ry/hanoi-old-quarter," Mon - Fri 11:00 am - 10:00 pm , Sat, Sun 10:00 am - 10:00 pm "
https://www.foodora.com.au,Melbourne,Hardware Street Cafe,"119 Hardware Street, CBD,3000,Melbourne",$$,"Australian,Meat,American,Burgers",https://www.foodora.com.au/restaurant/a0tj/hardware-street-cafe," Mon - Fri 11:00 am - 4:30 pm , Sat, Sun 10:00 am - 4:30 pm "
https://www.foodora.com.au,Melbourne,Hungry Nights,"281 Bridge Road, Richmond,3121,Melbourne",$$,"Alcohol,Curry,Meat,Vegetarian,Indian",https://www.foodora.com.au/restaurant/a7mj/hungry-nights-vendor," Mon - Fri 11:00 am - 3:00 pm , Sat, Sun 10:00 am - 3:00 pm "
https://www.foodora.com.au,Melbourne,Jack's House,"1398 High Street, Malvern,3144,Melbourne",$$,"Pasta,Bakery & Cafe,Salad,Breakfast",https://www.foodora.com.au/restaurant/a3us/jack-s-house," Mon - Fri 11:00 am - 3:30 pm , Sat, Sun 10:00 am - 3:30 pm "
